"فضل عيادة المريض","iyadat-almarid","أخلاق","خطواتك لزيارة مريض هي خطوات في خريف الجنة. تعرف على الأجر العظيم لهذه السنة المهجورة.","## خريف الجنة\n\nمن عاد مريضاً لم يزل في خرفة الجنة حتى يرجع. استشعر معية الله عند المريض.\n\n### الآداب:\nخفف الزيارة، وادعُ له بالشفاء، وأدخل السرور على قلبه.","2026-02-14"
"التقوى: وصية الله للأولين والآخرين","taqwa-allah","إيمانيات","ما هي التقوى حقيقة؟ وكيف تجعل بينك وبين عذاب الله وقاية في كل فعل تقوم به؟","## الخوف من الجليل والعمل بالتنزيل\n\nالتقوى هي الميزان الحقيقي. 'إن أكرمكم عند الله أتقاكم'.\n\n### الثمرة:\n'ومن يتق الله يجعل له مخرجاً'. التقوى هي مفتاح حل المشكلات.","2026-02-15"
"صلاة الضحى: صدقة مفاصلك","salat-alduha","عبادات","صلاة الأوابين.. كيف تؤدي شكر 360 مفصلاً في جسدك بركعتين فقط في وقت الضحى؟","## صدقة يومية\n\nكل سلامى من الناس عليه صدقة. صلاة الضحى تجزئ عن ذلك كله.\n\n### وقتها:\nمن بعد شروق الشمس بربع ساعة وحتى قبل الظهر بربع ساعة.","2026-02-16"
"التوبة الصادقة والرجوع لله","tawba-nasuh","إيمانيات","باب الله لا يغلق أبداً. تعلم شروط التوبة وكيف تبدأ صفحة جديدة بيضاء مع الخالق.","## التائب من الذنب كمن لا ذنب له\n\nالله يفرح بتوبة عبده. لا تدع الشيطان يقنطك من رحمة الله.\n\n### الخطوات:\nالندم، الإقلاع عن الذنب، والعزم على عدم العودة.","2026-02-17"
"فضل كفالة اليتيم","kafalat-al-yatim","أخلاق","كن رفيق النبي ﷺ في الجنة بكفالة يتيم. كيف تساهم في بناء حياة طفل وتنال أعلى الدرجات؟","## أنا وكافل اليتيم في الجنة كهاتين\n\nمسيح القلوب هو الإحسان لليتيم. الصدقة في اليتيم تضاعف الأجر.\n\n### الأثر:\nتمسح قسوة القلب وتجلب البركة في البيت.","2026-02-18"
"أمانة الكلمة في عصر السوشيال ميديا","amana-al-kalima","أخلاق","كل حرف تكتبه هو مسؤولية. كيف تحول حساباتك على التواصل الاجتماعي لميزان حسنات؟","## ما يلفظ من قول إلا لديه رقيب عتيد\n\nكلمتك قد تنشر خيراً أو شراً. كن مفتاحاً للخير مغلاقاً للشر.\n\n### نصيحة:\nقبل أن تنشر، اسأل نفسك: هل يرضي هذا الله؟","2026-02-19"
"إماطة الأذى عن الطريق","imatat-al-adha","أخلاق","شعبة من شعب الإيمان يغفل عنها الكثير. كيف تكون نظافة بيئتك جزءاً من تدينك؟","## أدناها إماطة الأذى عن الطريق\n\nديننا دين النظافة والجمال. غصن شوك أزاحه رجل غفر الله له به.\n\n### التطبيق:\nلا تترك أثراً سيئاً خلفك، وساهم في تجميل مكانك.","2026-02-20"
"بركة البكور: سر النجاح","barakat-al-bukur","إيمانيات","بورك لأمتي في بكورها. لماذا يعتبر الصباح الباكر هو وقت المعجزات والإنجازات؟","## استغل أول النهار\n\nتوزيع الأرزاق يكون في البكور. الناجحون هم من يستيقظون قبل الشمس.\n\n### العادة:\nجرب إنجاز أصعب مهامك بعد صلاة الفجر مباشرة.","2026-02-21"
"طلب العلم: فريضة وعبادة","talab-al-ilm","إيمانيات","طريق العلم هو طريق الجنة. لماذا رفع الله قدر العلماء وما هي بركة التعلم المستمر؟","## يرفع الله الذين آمنوا والذين أوتوا العلم درجات\n\nالعلم نور والجهل ظلام. استمر في تعلم دينك ودنياك.\n\n### الهدف:\nخصص 10 دقائق يومياً لتعلم شيء جديد ينفعك.","2026-02-22"
"الحياء: زينة المؤمن","al-hayaa","أخلاق","الحياء لا يأتي إلا بخير. كيف يحميك الحياء من الوقوع في المعاصي ويزيدك وقاراً؟","## الحياء شعبة من الإيمان\n\nإذا ذهب الحياء ذهب الإيمان. هو خلق يمنعك من القبيح.\n\n### المعنى:\nالحياء من الله قبل الناس هو أعلى درجات الحياء.","2026-02-23"
"التسامح والعفو عند المقدرة","tasamuh-wa-afw","أخلاق","أرح قلبك بالعفو عن الناس. كيف تحول الغيظ إلى سلام نفسي وأجر عظيم عند الله؟","## فمن عفا وأصلح فأجره على الله\n\nالتسامح ليس ضعفاً، بل هو قوة المنتصر. 'والعافين عن الناس'.\n\n### النتيجة:\nمن عفا عن الناس عفا الله عنه. صفّ قلبك الليلة.","2026-02-24"
"الاستقامة: سر النجاة","istiqama","إيمانيات","قل آمنت بالله ثم استقم. كيف تحافظ على ثباتك في زمن المتغيرات والفتن؟","## فاستقم كما أمرت\n\nالاستقامة هي أعظم كرامة. هي المداومة على الخير وإن قل.\n\n### الثبات:\nالدعاء 'يا مقلب القلوب ثبت قلبي على دينك'.","2026-02-25"
"جبر الخواطر: عبادة خفية","jabr-al-khawatir","أخلاق","ما عبد الله بشيء أحب إليه من جبر الخواطر. كيف تكون بلسماً لجراح من حولك؟","## من سار بين الناس جابراً للخواطر\n\nكلمة حانية، ابتسامة، أو مساندة في وقت ضيق. جبر الخواطر من شيم الكرام.\n\n### الأثر:\nمن جبر خواطر الناس جبر الله خاطره في أصعب لحظات حياته.","2026-02-26"
"اليقين وحسن الظن بالله","yaqin-billah","إيمانيات","أنا عند ظن عبدي بي. كيف ترفع سقف توقعاتك من الله وتنتظر المعجزات؟","## اليقين هو تمام الإيمان\n\nلا تدعُ الله وأنت تجرّب، بل ادعُ وأنت موقن بالإجابة. اليقين يغير القدر.\n\n### الحالة:\nتفاءل خيراً مهما كانت الظروف، فالله يدبر الأمر بحكمة.","2026-02-27"
